Sr No,Model Name,Skin Name,Image Link,Warning
39,Samsung Galaxy  A52,Ghost Katana,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Ghost%20Katana.jpg,
40,Samsung Galaxy  A52,Golden Matrix,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Golden%20Matrix.jpg,
41,Samsung Galaxy  A52,Golden Prism,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Golden%20Prism.jpg,
42,Samsung Galaxy  A52,Golden Veins,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Golden%20Veins.jpg,
43,Samsung Galaxy  A52,Graphite Groove,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Graphite%20Groove.jpg,
44,Samsung Galaxy  A52,Green Enigma,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Green%20Enigma.jpg,
45,Samsung Galaxy  A52,Holograph Heat,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Holograph%20Heat.jpg,
46,Samsung Galaxy  A52,Inferno Ice,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Inferno%20Ice.jpg,
47,Samsung Galaxy  A52,Lava Lagoon,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Lava%20Lagoon.jpg,
48,Samsung Galaxy  A52,Leaf Lattice,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Leaf%20Lattice.jpg,
49,Samsung Galaxy  A52,Legendary Suit,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Legendary%20Suit.jpg,
50,Samsung Galaxy  A52,Light Tunnel,https://raw.githubusercontent.com/skinmart/Samsung/main/Samsung%20Galaxy%20%20A52_Light%20Tunnel.jpg,
